SupplierID,SupplierName,ContactPerson,Email,Phone,City,State,Country,SupplierRating,LeadTimeDays,Status,CreatedDate
SUP000001,Kitchen World,Rebecca Hartman,contact1@kitchenworld.com,8697030889,East Matthewview,Montana,India,4.8,13,Active,2024-02-15
SUP000002,Pro Sports Supply,Shawn Reed,contact2@prosportssupply.com,4524705506,Portertown,Virginia,India,3.7,2,Active,2023-09-02
SUP000003,Prime Components,Zachary Morris,contact3@primecomponents.com,4331089880,North Brendashire,New Mexico,India,4.7,20,Active,2025-12-01
SUP000004,Fresh Harvest,Angela Jones,contact4@freshharvest.com,3529669503,Lake Richardstad,Virginia,India,4.8,9,Active,2025-03-18
SUP000005,Home Solutions,Shawn Carr,contact5@homesolutions.com,4808490359,Smithside,Vermont,India,3.8,18,Active,2023-07-23
SUP000006,Natural Care,Donna Dickson,contact6@naturalcare.com,7470495791,West Nathan,Kansas,India,4.4,8,Active,2023-08-11
SUP000007,Urban Threads,Christian Gutierrez,contact7@urbanthreads.com,9205165347,Liborough,Indiana,India,4.8,20,Active,2025-12-25
SUP000008,Living Space,William Burns,contact8@livingspace.com,8812183113,Brownside,Arizona,India,4.1,3,Active,2025-10-15
SUP000009,Toy Universe,Thomas White,contact9@toyuniverse.com,8605726121,North Lauren,Connecticut,India,4.0,13,Active,2023-06-29
SUP000010,DriveTech,Tyrone Jones,contact10@drivetech.com,5949878204,Masonville,Alabama,India,4.1,5,Inactive,2026-02-08
SUP000011,Style Source,Peter Smith,contact11@stylesource.com,1143609893,New Brianhaven,North Carolina,India,3.7,10,Active,2026-02-22
SUP000012,Home Comfort,Harry Torres,contact12@homecomfort.com,5248399273,Salazarborough,Illinois,India,4.0,13,Active,2025-06-17
SUP000013,TechNova Electronics,Joseph Wilson,contact13@technovaelectronics.com,2336093663,Mossberg,Wyoming,India,4.0,8,Active,2023-10-06
SUP000014,FitNation,Whitney Jones,contact14@fitnation.com,5799192358,West Jessica,Wyoming,India,3.6,9,Active,2024-11-20
SUP000015,Digital Edge,Katie Foster,contact15@digitaledge.com,0728501685,South Louisview,Minnesota,India,4.5,17,Active,2025-04-05
SUP000016,Champion Gear,Samantha Oconnor,contact16@championgear.com,7197264596,Neilmouth,Arkansas,India,4.1,10,Active,2023-11-12
SUP000017,Digital Edge,Stephen Frazier,contact17@digitaledge.com,3208614022,South Kimstad,Washington,India,4.4,12,Active,2023-07-15
